2020-09-30 | 14:05:55.075 | [] |  INFO | StandardService                | (   173) | Starting service [Tomcat]
2020-09-30 | 14:05:55.075 | [] |  INFO | StandardEngine                 | (   173) | Starting Servlet engine: [Apache Tomcat/9.0.38]
2020-09-30 | 14:05:55.089 | [] |  INFO | [/api/v1]                      | (   173) | Initializing Spring embedded WebApplicationContext
2020-09-30 | 14:05:55.090 | [] |  INFO | ServletWebServerApplicationContext | (   285) | Root WebApplicationContext: initialization completed in 128 ms
2020-09-30 | 14:05:55.117 | [] |  INFO | ThreadPoolTaskExecutor         | (   181) | Initializing ExecutorService 'applicationTaskExecutor'
2020-09-30 | 14:05:55.143 | [] |  INFO | OptionalLiveReloadServer       | (    58) | LiveReload server is running on port 35729
2020-09-30 | 14:05:55.149 | [] |  INFO | TomcatWebServer                | (   220) | Tomcat started on port(s): 8080 (http) with context path '/api/v1'
2020-09-30 | 14:05:55.152 | [] |  INFO | StorageAppApplication          | (    61) | Started StorageAppApplication in 0.208 seconds (JVM running for 5035.597)
2020-09-30 | 14:05:55.153 | [] |  INFO | ConditionEvaluationDeltaLoggingListener | (    63) | Condition evaluation unchanged
2020-09-30 | 14:05:55.215 | [] |  INFO | TomcatWebServer                | (   108) | Tomcat initialized with port(s): 8080 (http)
2020-09-30 | 14:05:55.225 | [] |  INFO | StandardService                | (   173) | Starting service [Tomcat]
2020-09-30 | 14:05:55.226 | [] |  INFO | StandardEngine                 | (   173) | Starting Servlet engine: [Apache Tomcat/9.0.38]
2020-09-30 | 14:05:55.282 | [] |  INFO | [/api/v1]                      | (   173) | Initializing Spring embedded WebApplicationContext
2020-09-30 | 14:05:55.282 | [] |  INFO | ServletWebServerApplicationContext | (   285) | Root WebApplicationContext: initialization completed in 584 ms
2020-09-30 | 14:05:55.381 | [] |  INFO | ThreadPoolTaskExecutor         | (   181) | Initializing ExecutorService 'applicationTaskExecutor'
2020-09-30 | 14:05:55.451 | [] |  WARN | OptionalLiveReloadServer       | (    61) | Unable to start LiveReload server
